a
akesi
anu
ala
alasa
ale
ante
anpa
awen
ijo
ike
ilo
insa
uta
utala
unpa
e
esun
en
epiku
o
oko
ona
open
olin
kasi
kama
kala
kalama
kipisi
kijetesantakalu
kili
kiwen
kin
ku
kute
kulupu
kule
kepeken
ken
ko
kokosila
kon
sama
sike
sitelen
sina
sijelo
sin
sinpin
suno
supa
suli
suwi
seme
seli
selo
sewi
soko
sona
soweli
taso
tawa
tan
tu
telo
tenpo
toki
tonsi
tomo
n
nasa
nasin
namako
nanpa
ni
nimi
nena
noka
pakala
pana
pali
palisa
pan
pi
pini
pipi
pimeja
pilin
pu
poka
poki
pona
ma
mani
mama
mi
misikeke
mije
mu
musi
mute
mulapisu
mun
meso
meli
moku
moli
monsi
monsuta
jaki
jasima
jan
jelo
jo
la
laso
lanpan
lape
lawa
li
lipu
lili
linja
luka
lukin
lupa
leko
lete
len
loje
lon
waso
walo
wawa
wan
wile
weka
